local_file_weight, rouge_1_f1_score, rouge_1_precision, rouge_1_recall, rouge_2_f1_score, rouge_2_precision, rouge_2_recall, rouge_l_f1_score, rouge_l_precision, rouge_l_recall, bleu_1, bleu_2, bleu_3, bleu_4
1, 0.341822, 0.264003, 0.54089, 0.130173, 0.0945875, 0.239847, 0.312022, 0.241194, 0.492094, 0.247113, 0.0940639, 0.0507985, 0.0348854
2, 0.341822, 0.264003, 0.54089, 0.12984, 0.0943095, 0.239489, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
3, 0.341942, 0.26423, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312102, 0.241425, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
4, 0.342195, 0.264389, 0.541496, 0.130429, 0.0947815, 0.240781, 0.312948, 0.242134, 0.493204, 0.247005, 0.0943957, 0.050959, 0.0350459
5, 0.34272, 0.264683, 0.542768, 0.130413, 0.0946913, 0.241284, 0.312578, 0.241755, 0.493143, 0.246364, 0.0944948, 0.0509878, 0.0349939
6, 0.342811, 0.264586, 0.543821, 0.130903, 0.0948468, 0.243294, 0.313066, 0.241934, 0.494863, 0.24485, 0.0940752, 0.0507425, 0.0347704
7, 0.342651, 0.264428, 0.543215, 0.129497, 0.0936222, 0.241952, 0.312921, 0.241803, 0.494257, 0.243159, 0.0926956, 0.0498366, 0.0340273
8, 0.343452, 0.265478, 0.543627, 0.1302, 0.0940903, 0.243549, 0.31542, 0.244104, 0.49731, 0.241887, 0.0923867, 0.0495262, 0.033738
9, 0.347427, 0.267194, 0.549522, 0.131076, 0.0941418, 0.245117, 0.320277, 0.246608, 0.504382, 0.238053, 0.0919617, 0.0487612, 0.0331607
10, 0.343362, 0.263033, 0.546793, 0.135234, 0.0966878, 0.255964, 0.318021, 0.243637, 0.505432, 0.231091, 0.0928526, 0.0504327, 0.0347111
